,InocS_1,InocS_2,InocS_3,InocHypS_1,InocHypS_2,InocHypS_3,InocR_1,InocR_2,InocR_3
Eucgr.L00405.1,0,0,0,5,3,29,0,0,0
Eucgr.L00418.1,0,0,0,0,0,0,0,0,0
Eucgr.L00411.1,21,43,14,25,20,37,13,23,17
Eucgr.L00408.1,0,0,1,0,0,1,18,2,0
Eucgr.L00416.1,0,0,0,0,0,0,0,0,0
Eucgr.L00412.1,0,7,0,0,0,6,7,3,37
Eucgr.L00417.1,0,0,1,3,4,5,2,0,2
Eucgr.L00414.1,0,0,0,0,0,0,0,0,0
Eucgr.L00916.1,1,8,7,9,5,9,0,2,0
Eucgr.L00918.1,22,468,185,1410,1006,1490,161,38,243
Eucgr.L00917.1,0,0,0,0,0,0,0,0,0
Eucgr.L00920.1,6,48,18,23,9,27,4,7,49
Eucgr.L00919.1,0,0,0,0,0,0,0,0,0
Eucgr.L00921.1,0,4,0,0,0,2,0,0,4
Eucgr.L03499.1,11,15,2,9,2,8,15,11,11
Eucgr.L02078.1,252,215,309,341,262,242,212,256,241
Eucgr.L02370.1,646,1,272,81,252,196,3,10,633
Eucgr.L03752.1,6,17,2,0,0,0,33,32,3
Eucgr.L02915.1,0,0,0,1,0,0,3,0,0
Eucgr.L03403.1,30,23,24,33,36,68,81,191,122
Eucgr.L03130.1,0,0,0,0,0,0,0,0,0
Eucgr.L03167.1,0,0,0,2,0,0,1,0,0
Eucgr.L03514.1,0,0,0,0,0,0,0,0,0
Eucgr.L03509.1,0,0,0,0,0,0,0,0,0
Eucgr.L02345.1,67,124,65,83,61,84,74,57,151
Eucgr.L03585.1,16,70,46,39,12,22,12,8,22
Eucgr.L01934.1,0,0,0,0,0,0,0,0,0
Eucgr.L01935.1,0,0,0,0,0,0,0,0,0
Eucgr.L02684.1,0,0,0,0,0,0,0,0,0
Eucgr.L02484.1,0,1,0,0,5,6,0,6,0
Eucgr.L01904.1,0,0,0,0,0,0,3,0,8
Eucgr.L03394.1,0,0,0,0,0,0,0,0,0
Eucgr.L01390.1,2,16,3,6,9,7,7,4,0
Eucgr.L01388.1,0,0,0,0,0,0,0,0,0
Eucgr.L01393.1,0,0,0,0,0,0,0,0,0
Eucgr.L01391.1,0,0,0,0,0,0,0,6,15
Eucgr.L01392.1,1,0,0,0,0,5,2,9,77
Eucgr.L01389.1,5,0,1,7,3,25,38,175,172
Eucgr.L02645.1,0,2,0,3,0,0,0,0,0
Eucgr.L02644.1,10,2,14,12,6,22,8,5,10
Eucgr.L01740.1,0,0,0,0,0,0,0,0,0
Eucgr.L02630.1,0,0,0,0,0,0,2,0,0
Eucgr.L01638.1,1,1,2,2,3,7,6,0,16
Eucgr.L01637.1,1,1,0,9,5,3,0,11,42
