,InocS_1,InocS_2,InocS_3,InocHypS_1,InocHypS_2,InocHypS_3,InocR_1,InocR_2,InocR_3
Eucgr.A00803.1,106,126,86,174,142,211,281,389,617
Eucgr.A02888.1,62,80,63,120,63,82,90,50,66
Eucgr.A00540.1,0,0,0,0,1,0,0,4,2
Eucgr.A02989.1,455,460,375,386,303,408,377,375,382
Eucgr.A00308.1,0,0,0,2,0,0,0,0,0
Eucgr.A00608.1,1381,1604,1712,1907,1613,1927,1958,1740,1823
Eucgr.A00595.1,1,8,0,3,1,7,0,0,0
Eucgr.A00201.1,35,29,12,28,33,48,81,59,122
Eucgr.A00269.1,77,69,80,137,107,112,59,61,61
Eucgr.A00839.1,63,31,84,34,45,48,115,54,84
Eucgr.A00670.1,2,5,0,12,17,10,22,51,1
Eucgr.A02334.1,41,44,43,6,6,1,37,52,15
Eucgr.A00733.1,139,100,152,201,249,242,319,302,400
Eucgr.A01089.1,1,0,7,4,6,7,3,3,14
Eucgr.A02799.1,248,226,267,221,171,200,190,191,215
Eucgr.A00709.1,0,0,0,0,0,0,0,0,1
Eucgr.A02824.1,0,0,0,0,0,0,0,0,0
Eucgr.A02063.1,0,0,0,0,0,0,0,0,0
Eucgr.H01868.1,266,366,279,411,357,402,391,388,498
Eucgr.A01001.1,504,293,492,488,452,679,1113,2078,1187
Eucgr.A00585.1,14,4,6,2,2,1,0,5,11
Eucgr.A00507.1,42,69,35,60,34,48,62,70,74
Eucgr.A02711.1,0,0,0,0,0,0,0,0,0
Eucgr.A00556.1,7,4,6,19,16,48,0,63,29
Eucgr.A01381.1,0,0,3,1,1,5,5,5,5
Eucgr.A02833.1,12,0,3,0,0,1,3,0,1
Eucgr.L00047.1,29,24,21,68,44,59,13,52,82
Eucgr.A00205.1,0,0,0,3,4,6,0,3,0
Eucgr.A02755.1,0,0,0,0,0,0,1,0,1
Eucgr.A02227.1,696,1139,885,1024,813,1117,653,562,833
Eucgr.A01905.1,194,236,125,190,160,225,159,148,228
Eucgr.A00800.1,339,406,313,304,266,332,440,380,417
Eucgr.A00082.1,18,28,10,7,2,19,32,30,45
Eucgr.A01828.1,0,0,0,0,0,0,0,0,0
Eucgr.A02365.1,3,5,1,0,1,0,0,1,2
Eucgr.A01950.1,0,0,0,0,0,0,0,0,0
Eucgr.A01635.1,17,20,11,16,11,11,25,9,26
Eucgr.A02431.1,0,0,0,0,0,0,0,0,0
Eucgr.B02730.1,892,1591,1033,1290,1149,1625,1340,2662,1328
Eucgr.H01878.1,0,0,0,5,2,1,0,1,0
Eucgr.A01027.1,0,0,0,0,0,0,0,0,0
Eucgr.A01056.1,9,9,8,49,24,33,26,46,85
Eucgr.A02790.1,44910,81144,55950,50615,31527,38984,2134,2558,1079
Eucgr.A01017.1,0,0,0,0,0,0,0,0,0
Eucgr.A00223.1,1,1,0,0,0,1,0,0,0
Eucgr.A02914.1,2,0,0,2,4,11,1,0,1
Eucgr.A01356.1,0,0,0,0,0,0,0,0,0
Eucgr.A02672.1,266,436,383,704,455,661,484,376,519
Eucgr.A01188.1,0,0,0,0,0,0,0,0,0
Eucgr.A00881.1,518,516,430,475,360,477,475,299,417
Eucgr.A00898.1,0,0,0,21,15,17,0,0,0
Eucgr.A01513.1,0,0,0,1,0,0,0,0,0
Eucgr.L00031.1,0,15,0,6,2,8,0,5,15
Eucgr.A01575.1,54,74,55,10,47,24,24,24,22
Eucgr.A01922.1,0,0,0,0,0,0,0,0,0
Eucgr.A01367.1,954,678,922,442,503,516,728,666,743
Eucgr.A01006.1,15,5,9,148,189,161,138,145,38
Eucgr.A01934.1,9,26,29,60,37,60,72,85,171
Eucgr.H01881.1,10,1,16,325,264,572,36,104,475
Eucgr.A02695.1,497,425,506,38,27,40,400,240,195
Eucgr.A00564.1,20,5,8,1,3,2,6,13,16
Eucgr.A00039.1,529,772,705,902,757,873,1261,814,1014
Eucgr.A02635.1,22,47,28,66,39,65,21,58,36
Eucgr.A02560.1,254,327,265,362,277,379,371,275,380
Eucgr.A00727.1,200,248,197,217,160,212,267,196,277
Eucgr.A00345.1,0,0,0,0,0,0,0,0,0
Eucgr.L00015.1,0,0,0,0,0,0,0,0,0
Eucgr.A01798.1,0,0,0,1,0,0,0,0,2
Eucgr.A02929.1,1758,1463,1780,2131,1850,2860,1466,1677,1602
Eucgr.A01678.1,1,0,0,5,1,6,0,0,12
Eucgr.A01497.1,18,10,2,123,44,192,128,240,424
Eucgr.A01901.1,0,0,0,0,0,0,0,0,0
Eucgr.A00220.1,3,0,0,2,6,1,1,5,6
Eucgr.A01114.1,263,65,272,88,123,137,648,668,227
Eucgr.A01166.1,8,14,87,285,548,196,16,97,123
Eucgr.A02662.1,407,115,319,158,133,178,412,234,350
Eucgr.A00751.1,51,151,48,30,29,42,41,29,20
Eucgr.A01298.1,0,0,0,0,0,0,0,0,0
Eucgr.A01775.1,0,0,0,0,0,0,0,0,0
Eucgr.A01861.1,3,2,11,4,6,12,2,5,0
Eucgr.A01788.1,232,114,198,80,100,138,133,138,276
Eucgr.A01955.1,2474,4235,3770,6436,3993,4835,2111,1405,2361
Eucgr.A02464.1,768,822,767,385,418,421,600,969,793
Eucgr.A00929.1,80,1903,51,1850,2015,1577,377,1085,467
Eucgr.A02778.1,3908,3839,4057,4308,3055,4192,2605,2425,3219
Eucgr.A02546.1,551,1928,620,888,650,794,399,496,479
Eucgr.A00286.1,272,407,316,401,383,468,309,331,437
Eucgr.A01301.1,104,83,76,111,86,150,211,138,222
Eucgr.A00781.1,633,895,909,1453,1212,1317,1324,1166,1270
Eucgr.A01030.1,5,9,0,7,6,8,9,2,16
Eucgr.A02901.1,0,0,0,0,0,0,0,0,0
Eucgr.A01976.1,358,410,354,577,379,529,316,317,584
Eucgr.A00034.1,172,207,222,150,146,174,185,188,224
Eucgr.A02239.1,493,480,414,397,253,478,773,434,875
Eucgr.A00739.1,352,221,242,191,251,248,225,299,340
Eucgr.A02675.1,768,1124,1146,2851,1696,3139,1075,1955,3635
Eucgr.A02385.1,7,6,6,3,0,4,2,6,8
Eucgr.B02796.1,2,2,2,0,0,70,0,8,67
Eucgr.A02549.1,6,3,2,7,4,11,7,10,2
Eucgr.A02161.1,318,671,370,802,510,726,350,294,344
Eucgr.A02739.1,14,0,11,24,19,20,7,0,2
Eucgr.A02619.1,0,0,0,2,0,12,0,63,0
Eucgr.A01321.1,71,75,65,68,63,63,55,64,78
Eucgr.A02425.1,0,2,0,14,6,6,0,0,0
Eucgr.A01489.1,1023,1206,1026,1153,826,995,851,703,933
Eucgr.A02995.1,533,545,560,584,575,707,670,967,571
Eucgr.A01488.1,818,1072,844,1014,929,1166,1095,798,1358
Eucgr.A02271.1,11,8,17,43,20,35,6,11,22
Eucgr.H01871.1,0,0,0,0,0,0,0,0,0
Eucgr.A01478.1,12,40,9,64,93,150,98,100,124
Eucgr.A00215.1,142,119,167,134,131,179,173,251,278
Eucgr.A00043.1,0,0,0,0,0,0,0,0,0
Eucgr.A00349.1,1462,1891,1323,1867,1371,1947,1296,777,1547
Eucgr.A02035.1,3212,3234,2896,2333,2456,2302,5615,7512,4770
Eucgr.A02923.1,715,944,892,1071,777,1077,823,1268,1187
Eucgr.A01171.1,709,858,759,538,425,615,900,623,976
Eucgr.A02764.1,568,607,518,307,257,381,257,419,493
Eucgr.A02881.1,36,42,54,65,30,100,34,82,18
Eucgr.A01261.1,0,0,0,0,0,0,0,0,0
Eucgr.A02083.1,1892,2102,2030,1574,1344,1544,1640,1693,2012
Eucgr.A02706.1,202,142,256,265,232,316,490,371,136
Eucgr.A01523.1,14,32,34,28,21,34,92,80,57
Eucgr.A00940.1,29,2,21,24,19,26,64,23,31
Eucgr.A02342.1,281,308,265,159,139,188,219,184,320
Eucgr.A02718.1,5,5,8,10,6,16,4,9,11
Eucgr.A00950.1,11,10,15,3,6,2,8,17,7
Eucgr.A02884.1,98,76,55,68,66,102,98,84,94
Eucgr.A00606.1,552,342,850,113,213,130,279,204,441
Eucgr.A00694.1,27,10,22,7,6,7,44,22,36
Eucgr.B02805.1,547,725,643,539,445,569,648,570,509
Eucgr.A02851.1,0,0,0,0,0,0,0,0,10
Eucgr.A01863.1,0,0,0,0,0,0,1,0,0
Eucgr.A02386.1,50,110,70,119,107,117,58,69,92
Eucgr.A01984.1,0,0,0,0,0,0,0,0,0
Eucgr.A00616.1,70,50,50,46,43,50,60,98,103
Eucgr.A02656.1,1987,639,1216,505,1017,867,1820,2059,2673
Eucgr.A02054.1,11,4,1,17,17,46,24,29,107
Eucgr.A00773.1,0,0,0,2,0,2,0,9,3
Eucgr.A01238.1,1796,2759,2476,4716,3142,4124,2393,2269,3839
Eucgr.L00026.1,69,97,83,113,109,132,154,124,94
Eucgr.A00851.1,13,6,24,11,4,13,36,24,19
Eucgr.A00907.1,411,345,365,248,225,239,213,224,263
Eucgr.A01227.1,3,2,6,31,38,26,4,53,23
Eucgr.A00630.1,1,0,0,0,0,0,0,21,0
Eucgr.A02567.1,171,132,152,40,59,78,91,71,113
Eucgr.A01868.1,113,127,118,221,159,209,196,65,48
Eucgr.B02774.1,0,0,20,5,4,44,37,46,71
Eucgr.A01640.1,0,0,0,0,0,0,0,0,0
Eucgr.A01336.1,0,0,0,0,0,0,0,0,0
Eucgr.A00351.1,726,941,735,868,610,790,833,687,878
Eucgr.A02582.1,8,1,10,6,9,10,8,18,59
Eucgr.A00254.1,272,353,250,368,252,324,191,224,234
Eucgr.A01823.1,266,385,237,195,239,301,546,472,502
Eucgr.A02538.1,344,202,413,247,108,160,213,330,56
Eucgr.A02247.1,8,11,16,1,8,4,2,3,18
Eucgr.A02962.1,125,125,111,157,120,137,113,111,116
Eucgr.A02135.1,1122,1460,1243,1454,1019,1193,1346,1028,1573
Eucgr.A02157.1,11,34,29,51,35,51,42,27,56
Eucgr.A01557.1,101,97,93,119,99,114,113,94,118
Eucgr.A01716.1,11,4,4,0,1,0,1,0,1
Eucgr.A02536.1,571,1278,435,253,339,427,592,824,951
Eucgr.A02684.1,2,1,1,2,0,3,0,0,0
Eucgr.A02482.1,0,0,0,0,0,0,0,0,0
Eucgr.B02715.1,0,2,0,0,0,0,0,0,0
Eucgr.A00991.1,352,471,343,293,242,286,352,286,413
Eucgr.A01480.1,19,17,7,27,32,50,29,44,109
Eucgr.A00056.1,258,439,262,328,262,338,282,219,301
Eucgr.A00234.1,0,0,0,2,2,0,0,0,0
Eucgr.A02350.1,0,0,0,0,0,0,0,0,0
Eucgr.A02940.1,540,723,606,793,601,755,652,624,671
Eucgr.A02485.1,0,0,0,0,0,0,0,0,0
Eucgr.A02787.1,165,180,152,143,99,118,140,142,159
Eucgr.A02553.1,544,302,363,144,180,180,323,372,377
Eucgr.A01726.1,0,0,0,2,0,0,0,0,0
Eucgr.A02874.1,467,650,511,588,396,608,402,445,594
Eucgr.A00099.1,138,141,109,127,107,161,71,110,104
Eucgr.A01233.1,0,0,0,0,0,0,0,0,0
Eucgr.A01460.1,658,638,691,847,733,1057,1166,745,942
Eucgr.A02827.1,8,0,3,0,1,1,0,0,14
Eucgr.A02415.1,249,312,231,250,185,342,197,171,262
Eucgr.A01115.1,1,0,1,1,0,2,0,0,0
Eucgr.A01158.1,48,55,51,6,17,50,11,10,153
Eucgr.A01531.1,671,1228,962,1366,1032,1397,1161,1204,1377
Eucgr.A01410.1,12,3,11,6,5,3,8,126,9
Eucgr.A02265.1,551,513,566,322,309,407,618,697,862
Eucgr.A02493.1,0,0,0,0,0,0,0,3,0
Eucgr.A00079.1,165,81,153,156,194,180,54,106,9
Eucgr.A02177.1,10424,3061,4913,2201,5313,3997,11551,12878,13563
Eucgr.A02949.1,324,160,215,104,323,244,488,580,597
Eucgr.B02765.1,13,0,6,4,1,1,9,2,4
Eucgr.A02436.1,0,0,0,0,0,0,0,0,0
Eucgr.A01132.1,0,0,0,0,0,0,0,0,0
Eucgr.A02879.1,7,3,9,20,5,17,7,11,9
Eucgr.A02098.1,74,90,113,146,146,123,88,167,136
Eucgr.A00405.1,0,0,0,0,0,0,3,0,1
Eucgr.A00529.1,1429,3617,2067,2174,1613,2005,1251,1332,1441
Eucgr.A01401.1,0,0,2,9,1,23,4,10,9
Eucgr.A01080.1,70,24,167,346,491,213,1643,2554,692
Eucgr.A00380.1,929,810,952,561,529,717,670,520,655
Eucgr.A02863.1,7,7,5,2,5,10,12,23,20
Eucgr.A02800.1,251,358,245,340,210,346,270,134,338
Eucgr.A01683.1,674,231,397,481,527,632,742,726,905
Eucgr.A01859.1,1,0,1,1,0,1,0,0,2
Eucgr.A02040.1,1086,997,1018,558,565,615,713,598,690
Eucgr.A02179.1,80,97,125,62,41,60,71,97,158
Eucgr.A02078.1,267,360,305,363,233,406,370,363,327
Eucgr.A01870.1,0,0,0,0,0,0,0,0,0
Eucgr.A02046.1,10,17,21,24,12,25,19,18,25
Eucgr.A01749.1,538,318,357,203,241,211,333,156,255
Eucgr.A02128.1,0,0,2,12,7,17,0,0,0
Eucgr.A01734.1,35,6,10,4,14,4,8,14,7
Eucgr.A00848.1,12,12,17,19,7,22,26,7,24
Eucgr.A00208.1,0,0,0,1,2,0,0,0,0
Eucgr.A02100.1,825,766,717,783,667,1087,1010,905,1169
Eucgr.A01361.1,0,0,0,0,0,0,0,0,0
Eucgr.A02400.1,18,14,29,13,12,20,54,31,60
Eucgr.A01787.1,9,11,10,6,10,17,19,2,5
Eucgr.A02957.1,17,23,28,17,16,16,16,41,21
Eucgr.A02911.1,80,14,19,44,77,104,69,343,213
Eucgr.A02532.1,8,12,6,1,3,2,0,7,10
Eucgr.A01123.1,205,175,206,89,79,106,119,120,213
Eucgr.A01754.1,7,1,7,42,36,61,17,56,5
Eucgr.A00437.1,0,0,0,0,0,0,0,0,0
Eucgr.A02146.1,0,0,0,0,0,0,0,0,0
Eucgr.A00236.1,0,2,0,0,0,2,2,1,4
Eucgr.A00547.1,15,36,25,55,48,43,5,14,15
Eucgr.A01288.1,0,0,1,0,0,0,6,2,1
Eucgr.A01914.1,784,572,761,724,695,880,758,588,814
Eucgr.A00916.1,0,1,0,1,0,0,0,0,2
Eucgr.A00534.1,1139,2450,1391,2946,1768,3196,1007,941,2318
Eucgr.A02131.1,1198,1269,1314,1202,996,1255,1521,1460,1840
Eucgr.A00070.1,22,2,56,30,8,24,22,32,39
Eucgr.A02641.1,723,989,953,1680,1433,1599,1045,1427,1322
Eucgr.B02767.1,2,2,3,1,1,0,2,8,5
Eucgr.A01778.1,14,0,8,6,6,7,16,36,14
Eucgr.A01255.1,1,0,0,1,0,1,1,0,1
Eucgr.A02294.1,1045,884,985,682,675,827,746,696,626
Eucgr.B02786.1,96,41,92,12,27,29,94,131,180
Eucgr.B02046.1,65,21,48,11,7,19,36,24,17
Eucgr.A00129.1,0,1,0,0,1,0,0,0,1
Eucgr.A02107.1,555,390,582,192,331,418,776,968,1117
Eucgr.A01902.1,0,0,0,0,1,0,0,0,1
Eucgr.A02055.1,0,0,0,0,0,0,0,0,1
Eucgr.B02780.1,23,24,35,35,32,87,140,200,241
Eucgr.A02760.1,17,230,26,194,31,151,53,242,147
Eucgr.A00265.1,0,1,1,2,4,8,6,15,9
Eucgr.A00766.1,3,9,1,5,5,6,2,2,19
Eucgr.A00327.1,0,0,0,0,0,0,0,0,0
Eucgr.A00651.1,1,2,4,6,0,7,4,2,4
Eucgr.A02201.1,199,458,372,386,173,352,144,160,106
Eucgr.B02755.1,5915,3249,4784,1579,3392,2817,6103,7896,8655
Eucgr.A02252.1,0,0,0,0,0,0,0,0,0
Eucgr.B02808.1,9,0,3,0,0,0,11,0,59
Eucgr.A00422.1,49,7,16,8,15,16,36,13,25
Eucgr.A00819.1,1,0,0,0,0,1,3,1,4
Eucgr.A01654.1,2049,5192,2494,4065,2405,3966,2262,2098,2270
Eucgr.A02011.1,138,142,106,142,109,118,107,78,41
Eucgr.A00998.1,30,34,28,277,177,295,105,98,120
Eucgr.A00713.1,2,30,2,1,0,0,2,2,6
Eucgr.A02934.1,0,0,1,0,0,0,0,0,0
Eucgr.B02708.1,34,33,24,9,13,14,2,7,17
Eucgr.A02369.1,121,194,148,174,163,131,124,137,90
Eucgr.A00793.1,237,340,213,94,167,108,251,188,180
Eucgr.A01712.1,501,506,422,821,403,682,66,185,49
Eucgr.A00042.1,139,93,150,112,114,131,557,322,514
Eucgr.A01340.1,0,0,0,0,0,0,0,0,0
Eucgr.A02455.1,0,0,0,0,0,0,0,0,0
Eucgr.L00012.1,850,1148,979,1922,1178,1529,658,540,662
Eucgr.A02190.1,502,618,577,1594,968,1525,697,1176,808
Eucgr.A01220.1,0,0,0,0,0,0,0,0,0
Eucgr.A01418.1,41,25,42,0,5,2,249,31,42
Eucgr.A00749.1,2,0,1,5,0,0,0,0,0
Eucgr.A00633.1,0,0,1,0,1,1,0,0,0
Eucgr.A01232.1,3,0,0,8,2,3,3,2,1
Eucgr.A02030.1,1256,1603,1551,1053,1099,1585,693,663,636
Eucgr.A00410.1,0,0,0,0,0,0,0,0,0
Eucgr.A02572.1,0,3,2,9,3,7,2,1,7
Eucgr.A01176.1,27,46,14,13,9,23,23,7,26
Eucgr.A02738.1,1,5,11,8,4,3,2,0,0
Eucgr.A01453.1,51,32,50,23,20,17,144,234,83
Eucgr.A00957.1,0,0,0,0,0,0,0,0,0
Eucgr.A02601.1,236,400,277,41,57,53,266,188,151
Eucgr.H01876.1,3297,6464,4070,5909,4974,6044,2058,2832,2452
Eucgr.A01385.1,0,0,1,0,3,0,0,3,9
Eucgr.A02843.1,239,544,321,480,338,476,263,162,179
Eucgr.A01796.1,101,35,176,32,90,147,546,1072,867
Eucgr.A00822.1,220,219,188,241,193,265,236,220,268
Eucgr.A00139.1,0,0,0,0,0,0,0,0,0
Eucgr.A00740.1,784,861,657,1001,661,953,518,674,480
Eucgr.A01582.1,4,3,2,1,0,1,0,0,0
Eucgr.A00617.1,19,30,18,2,4,3,62,89,116
Eucgr.A01063.1,0,0,0,0,0,0,0,0,0
Eucgr.A02212.1,16,4,20,1,0,0,0,4,8
Eucgr.A02095.1,2051,2285,2116,2395,1826,2651,1910,1923,2262
Eucgr.A00836.1,143,106,135,61,70,82,159,89,133
Eucgr.A00005.1,1,8,1,0,0,2,1,1,3
Eucgr.A02758.1,95,129,73,103,67,104,103,128,96
Eucgr.A02346.1,152,189,164,244,193,261,206,166,210
Eucgr.A02275.1,5,9,8,25,7,25,8,20,0
Eucgr.A02443.1,99,86,82,51,56,96,117,84,150
Eucgr.A02872.1,305,298,289,396,328,418,331,286,367
Eucgr.A00543.1,314,469,298,510,412,487,367,387,391
Eucgr.A01839.1,7,33,7,4,1,8,0,0,1
Eucgr.A00599.1,2,0,3,1,0,0,0,0,0
Eucgr.A00218.1,0,0,0,0,0,0,0,0,0
Eucgr.A00209.1,0,0,0,0,0,0,0,0,0
Eucgr.A02126.1,2840,2083,2624,2146,1967,2280,4986,2511,3723
Eucgr.A01919.1,401,430,321,285,297,333,431,347,418
Eucgr.A01445.1,40,21,46,3,6,8,16,22,16
Eucgr.A02196.1,513,501,632,610,440,535,476,424,499
Eucgr.A01871.1,5,0,2,0,2,0,0,2,16
Eucgr.L00002.1,27,47,38,35,43,64,67,81,91
Eucgr.A00124.1,2,1,3,5,0,0,0,0,0
Eucgr.A02018.1,1810,2514,2264,3481,2927,3482,2691,2591,2776
Eucgr.A02890.1,2,0,1,26,18,9,0,0,0
Eucgr.A01604.1,1538,1720,1584,1252,1182,1513,1563,1305,1699
Eucgr.A00077.1,451,874,585,423,417,572,718,590,325
Eucgr.L00043.1,16,34,10,15,7,36,121,50,39
Eucgr.A01248.1,0,0,0,0,0,0,0,0,0
Eucgr.A02134.1,410,611,357,676,475,661,325,251,351
Eucgr.A00810.1,21,14,21,10,2,5,7,5,15
Eucgr.A00508.1,22,26,23,19,18,18,52,37,41
Eucgr.A01308.1,0,0,0,0,0,0,0,0,0
Eucgr.A01185.1,278,231,194,108,159,114,483,307,441
Eucgr.A01598.1,11,3,6,10,13,11,186,693,129
Eucgr.A00974.1,0,0,0,0,0,0,0,0,0
Eucgr.A02998.1,0,0,0,0,0,0,0,0,0
Eucgr.A00623.1,135,339,82,293,265,359,267,192,500
Eucgr.B02813.1,66,148,109,74,68,87,53,45,108
Eucgr.A02311.1,409,810,502,649,445,758,149,171,258
Eucgr.A01429.1,8,18,14,14,10,17,40,45,32
Eucgr.A01779.1,0,0,0,0,0,0,0,0,1
Eucgr.A02291.1,642,637,669,583,479,587,516,510,798
Eucgr.B02801.1,1045,2250,1455,1640,2116,2747,4065,5910,4638
Eucgr.A00446.1,26,7,25,16,14,31,3,21,181
Eucgr.A00888.1,232,269,205,223,149,195,231,251,331
Eucgr.A02402.1,2844,3353,3823,2324,1638,1938,1993,2277,3006
Eucgr.A01207.1,18,12,14,17,27,21,45,28,47
Eucgr.A00780.1,126,106,99,89,73,89,72,30,68
Eucgr.A00522.1,33,30,31,16,46,59,29,80,27
Eucgr.A02398.1,455,492,477,369,333,442,592,589,666
Eucgr.A02610.1,200,295,254,249,207,303,184,253,219
Eucgr.B02802.1,430,564,426,540,378,550,472,539,502
Eucgr.A02003.1,10,12,6,5,5,9,31,0,10
Eucgr.A02575.1,569,729,532,660,503,701,613,541,619
Eucgr.A01507.1,76,117,104,182,155,219,96,149,126
Eucgr.A01268.1,608,505,480,294,381,340,705,686,482
Eucgr.A00195.1,20,12,12,11,13,10,20,19,2
Eucgr.A00964.1,16,0,14,0,0,0,2,0,0
Eucgr.A00804.1,1,0,0,0,0,0,0,0,0
Eucgr.A00144.1,33,4,51,37,34,28,0,53,0
Eucgr.A02219.1,0,4,1,0,0,0,0,0,0
Eucgr.A02407.1,59,176,67,202,113,187,222,204,259
Eucgr.A02726.1,550,954,810,1608,943,1720,464,219,1019
Eucgr.A00908.1,1416,1695,1323,1999,1402,1704,1586,1185,1574
Eucgr.B02757.1,430,89,243,84,278,304,566,980,900
Eucgr.A00354.1,0,0,0,0,0,0,0,0,0
Eucgr.A02062.1,0,0,0,0,0,0,0,0,0
Eucgr.A02391.1,230,326,305,367,279,331,284,311,353
Eucgr.A01632.1,0,0,0,1,0,0,0,0,0
Eucgr.A02766.1,1067,1414,969,1159,807,1123,2324,1187,1777
Eucgr.A00841.1,7,18,8,4,1,4,21,11,15
Eucgr.A00278.1,41,48,24,11,13,19,24,31,30
Eucgr.A00069.1,8,0,3,0,1,2,13,0,17
Eucgr.A00130.1,1,0,3,1,1,2,0,1,0
Eucgr.A01279.1,455,640,446,844,459,814,581,543,694
Eucgr.A00285.1,744,825,541,805,786,1237,1266,619,1106
Eucgr.A02807.1,270,244,263,263,228,309,515,340,351
Eucgr.A02411.1,32,14,35,29,34,48,131,71,92
Eucgr.A02836.1,258,313,294,472,331,526,372,408,499
Eucgr.A01016.1,9,7,8,0,0,0,0,0,0
Eucgr.A00448.1,2,38,2,2,1,1,31,3,0
Eucgr.A01443.1,5,1,0,0,0,0,1,0,3
Eucgr.A00063.1,0,0,0,17,12,23,1,51,0
Eucgr.A00612.1,1,2,6,0,0,0,0,0,7
Eucgr.A02141.1,25,22,27,5,21,28,132,154,217
Eucgr.A01253.1,0,0,0,0,0,0,0,0,0
Eucgr.A02795.1,0,0,0,0,0,0,1,0,2
Eucgr.A02086.1,480,147,320,157,177,197,247,445,524
Eucgr.A01434.1,0,0,0,0,0,0,0,0,0
Eucgr.A01807.1,136,283,176,386,181,303,176,163,191
Eucgr.A02837.1,41,42,25,12,13,26,41,32,26
Eucgr.A01023.1,0,0,0,0,0,0,0,0,0
Eucgr.A00102.1,403,547,441,410,300,380,286,212,222
Eucgr.A02552.1,2,1,0,1,0,4,6,2,7
Eucgr.A02885.1,20,20,18,1,10,0,28,0,8
Eucgr.A02381.1,28,80,23,329,165,485,37,31,53
Eucgr.A02069.1,44,46,41,33,26,34,51,39,68
Eucgr.A01464.1,35,30,56,52,29,44,31,38,42
Eucgr.A00755.1,0,0,0,0,0,2,0,0,0
Eucgr.A00698.1,3,0,0,3,2,0,1,4,3
Eucgr.A02773.1,440,415,379,342,276,349,414,270,400
Eucgr.A00086.1,4,5,5,1,1,1,7,3,8
Eucgr.A01611.1,15,17,28,31,48,69,90,30,74
Eucgr.A01135.1,665,1080,864,1461,982,1360,1126,803,1172
Eucgr.A02370.1,2020,2508,2679,3721,3050,4076,3656,3640,2658
Eucgr.A00134.1,0,0,0,0,0,0,0,0,0
Eucgr.B02712.1,776,50,564,42,116,143,306,17,268
Eucgr.A02784.1,0,0,0,0,0,0,0,0,0
Eucgr.A00640.1,0,0,0,0,0,0,0,0,0
Eucgr.A02707.1,0,0,0,0,0,0,0,1,0
Eucgr.A01792.1,397,545,454,1254,759,1247,592,555,482
Eucgr.A01498.1,85,253,133,100,86,85,99,114,139
Eucgr.A01643.1,456,111,391,52,41,54,88,72,369
Eucgr.A02257.1,0,0,0,0,0,0,0,0,0
Eucgr.A01933.1,12457,10857,12727,18317,13363,17583,6416,9122,9671
Eucgr.A01873.1,0,0,0,0,0,0,0,0,0
Eucgr.A01426.1,4,3,3,9,3,4,2,0,3
Eucgr.A01593.1,534,742,569,845,625,773,563,440,630
Eucgr.A00169.1,2,1,4,0,1,0,2,0,0
Eucgr.A00553.1,736,745,803,744,610,699,563,728,705
Eucgr.A01477.1,0,0,0,0,0,0,0,0,0
Eucgr.L00001.1,14,27,18,20,17,26,58,20,53
Eucgr.B02051.1,0,0,0,0,0,0,0,3,0
Eucgr.A01814.1,157,181,182,129,123,162,205,239,255
Eucgr.A02309.1,547,570,566,142,161,154,945,371,1202
Eucgr.B02743.1,0,0,0,0,0,0,0,0,0
Eucgr.A01473.1,135,72,74,60,52,49,49,94,25
Eucgr.A00531.1,1,2,0,0,0,0,0,1,0
Eucgr.A00304.1,0,0,0,0,0,3,0,0,0
Eucgr.A02238.1,88,43,55,39,18,37,18,9,25
Eucgr.A02448.1,315,265,329,207,172,264,222,218,268
Eucgr.A01371.1,664,1202,847,1241,758,1168,601,517,812
Eucgr.A01542.1,1165,1487,1404,1775,1347,1690,1153,1077,1048
Eucgr.A01966.1,0,0,0,0,0,0,0,1,0
Eucgr.A02771.1,0,2,0,0,0,0,0,0,0
Eucgr.A02657.1,45,32,35,32,34,28,54,51,45
Eucgr.A02122.1,4,3,3,7,10,16,8,4,1
Eucgr.A00590.1,6,24,9,11,13,8,3,30,11
Eucgr.A01154.1,24,14,19,3,14,21,145,72,137
Eucgr.A02081.1,0,0,0,0,0,1,0,0,3
Eucgr.A00982.1,10932,14230,12542,20886,16384,19861,12400,12767,19985
Eucgr.A02374.1,30300,40309,27493,33154,25823,31877,45711,58175,68480
Eucgr.A00854.1,3,6,2,3,19,1,34,27,45
Eucgr.A02564.1,1144,1232,1197,2056,1641,2183,959,2343,1355
Eucgr.A00001.1,1432,1867,1457,2123,1709,2067,1383,1283,1303
Eucgr.A00028.1,0,1,0,0,2,0,4,2,0
Eucgr.A01993.1,33,60,23,28,12,30,20,6,10
Eucgr.A00439.1,2,0,0,3,2,3,1,0,0
Eucgr.A02681.1,3,5,15,2,3,15,9,139,154
Eucgr.A01977.1,2,5,1,0,1,0,1,2,0
Eucgr.A01533.1,1730,1278,1261,494,801,821,1744,1509,2187
Eucgr.A02509.1,118,111,122,177,121,152,69,43,54
Eucgr.A02646.1,290,266,242,987,528,1144,767,1101,1319
Eucgr.A02496.1,1114,1050,1025,939,704,902,1091,829,1041
Eucgr.A00052.1,5,47,8,12,14,11,73,105,78
Eucgr.A02162.1,1153,1449,1183,1402,1022,1409,1341,1151,1286
Eucgr.A00246.1,0,0,0,0,0,0,0,0,0
Eucgr.A00211.1,313,382,315,315,274,367,296,297,309
Eucgr.A00602.1,77,65,51,185,90,195,213,688,529
